id,text,mes_date,views,mes_title,mes_description
86,analyst data data manager wavemaker russia международное медиа агентство входящее рекламный холдинг groupm принадлежит wpp основной фокус разработка инновационных решений медиа контенте технологиях владимир петрищев откликнуться hh владимиру,2018-04-26 11:40:04+00:00,534.0,none,none
87,analyst data product analyst data engineer web analyst wrike популярный сервис управления проектами совместной работы спб иван бут откликнуться ивану hh,2018-04-27 09:01:12+00:00,532.0,none,none
88,analyst аналитик партнерскую часть баланса яндекс екатерина нанаенко откликнуться сайт яндекса,2018-04-27 12:14:20+00:00,562.0,none,none
89,analyst bi business intelligence analyst касперкий лаб никита должиков откликнуться hh,2018-04-28 08:33:48+00:00,528.0,none,none
92,analyst product analyst крупный классифайд сервис лидеров рынка аудитория 20 млн пользователей ежемесячно задачи оценка поведения пользователей проведение экспериментов поиск ключевых факторов инсайтов работа продуктовыми метриками,2018-05-03 09:03:12+00:00,492.0,none,none
93,data scientist epam нина варданян вопросами нине datascientist,2018-05-03 12:00:43+00:00,539.0,none,none
94,маркетинговый аналитик cubic games разработчик проекта pixelgun 3d который собрал огромную аудиторию стал одним лучших шутеров мобильных платформах резюме присылать analyst marketing gamedev,2018-05-04 09:00:13+00:00,517.0,none,none
95,веб аналитик студию артемия лебедева артемий лебедев откликнуться сайт студии analyst web,2018-05-04 12:00:19+00:00,538.0,none,none
96,руководитель отдела data science youdo сервис который позволяет быстро безопасно находить надежных исполнителей решения бытовых бизнес задач откликнуться hh analyst datascience headofdatasciense,2018-05-07 09:01:04+00:00,479.0,none,none
97,product analyst realtimeboard сервис совместной работы который представляет собой онлайн доску позволяет удобно визуализировать процессы работать контентом обсуждать дизайн планировать пермь анна бояркина откликнуться сайт компании анне analyst,2018-05-07 12:00:53+00:00,543.0,none,none
98,analyst scentbird российский стартап 2015 году прошедший программу акселерации combinator привлёкший 1 млн развитие проект продаёт пробники мужских женских дизайнерских духов подписке сергей гусев откликнуться analyst,2018-05-08 08:01:04+00:00,499.0,none,none
99,ведущий аналитик aic одна ведущих российских компаний специализирующаяся сервисном дизайне виталий черемисинов подробностями откликнуться виталию analyst,2018-05-08 12:09:55+00:00,535.0,none,none
100,senior data scientist engineer ki labs team software developers designers big data engineers data scientists passionate building product software innovative solutions офис мюнхене откликнуться сайт компании datascientist dataengineer senior,2018-05-10 08:01:06+00:00,470.0,none,none
101,data analyst аналитик playrix является крупнейшей игровой компанией россии входит топ 10 самых успешных мобильных разработчиков мире возможна удаленная работа бонус успешную рекомендацию резюме присылать dataanlyst analyst remotework gamedev,2018-05-10 12:20:07+00:00,513.0,none,none
102,аналитик product analyst издательство манн иванов фербер удалённая работа форма отклика сайте компании елена серёгина лене колмогоровой analyst product,2018-05-11 08:29:28+00:00,470.0,none,none
103,product analyst ostrovok евгений шнейдерман откликнуться сайт компании analyst product,2018-05-11 10:00:06+00:00,493.0,none,none
104,research analyst ins блокчейн платформа покупки продуктов напрямую производителей обход розничных магазинов основатели компании инстамарт асан курмангужин откликнуться эйчару analyst research blockchain,2018-05-11 12:55:32+00:00,521.0,none,none
105,data analyst criteo мировой лидер электронного маркетинга наташа гришкина наташе analyst data_analyst,2018-05-14 08:32:25+00:00,447.0,none,none
106,junior digital analyst tbwa агентство специализирующееся разработке реализации креативных стратегий коммуникаций брендов потребителей группу компаний tbwa moscow входят агентства предоставляющие полный комплекс услуг исследований анализа планирования продакшна проведения рекламных кампаний александр якунин откликнуться hh analyst junior digital,2018-05-14 08:36:58+00:00,486.0,none,none
107,data scientist ohm solutions технологическое агентство специализирующееся автоматизации рекламных кампаний интернете крупных рекламодателей делают упор машинное обучение ии роман осокин подробностями резюме присылать analyst datascientist,2018-05-14 12:01:01+00:00,523.0,none,none
108,аналитик маркетолог университет иннополис первый российский университет сфере информационных технологий находится новом построенном нуля наукограде российской федерации наряду подмосковным центром сколково создан развития информационных технологий инновационных высоких технологий университет расположен городе спутнике казани софия яковчук откликнуться софии телеграм почту analyst marketing,2018-05-15 08:07:58+00:00,511.0,none,none
109,junior marketing analyst собака гуляка сервис выгулу догситтингу наталья шипшилей резюме присылать analyst marketing,2018-05-15 11:57:36+00:00,522.0,none,none
110,руководитель отдела аналитики bi highload проект лидеров отрасли большая продуктовая линейка развивают c2c b2c направления спб релокационный пакет иногородних кандидатов analyst bi headofbi,2018-05-16 08:05:32+00:00,498.0,none,none
